Tipo;Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Cocineta;Condesa;1;0;0;40;5950.0;1750.0;210.0
Casa;Polanco;2;0;1;100;24500.0;;
Conjunto Comercial/Sala;Santa Fe;0;4;0;150;18200.0;14070.0;3888.5
Departamento;Centro Histórico;1;0;0;15;2800.0;1365.0;70.0
Departamento;Del Valle;1;0;0;48;2800.0;805.0;
Casa de Condominio;Santa Fe;5;4;5;750;77000.0;;
Conjunto Comercial/Sala;Centro Histórico;0;3;0;695;122500.0;67175.5;10605.0
Departamento;Centro Histórico;1;0;0;36;4200.0;;
Departamento;Condesa;1;0;1;40;7000.0;1963.5;175.0
Cocineta;Condesa;1;0;0;27;6300.0;1753.5;
Departamento;Condesa;4;3;1;243;45500.0;7000.0;2810.5
Edificio Completo;Roma;0;0;0;536;98000.0;;12470.5
Departamento en Hotel;Roma;3;1;1;80;13300.0;3640.0;
Departamento;Santa Fe;2;1;1;67;5950.0;2061.5;514.5
Departamento;Narvarte;2;1;0;110;6650.0;2450.0;483.0
Casa de Condominio;Santa Fe;4;3;2;466;26250.0;9432.5;
Departamento;Narvarte;2;1;0;78;7000.0;2450.0;
Departamento en Hotel;Lomas de Chapultepec;1;0;0;56;15750.0;6650.0;5250.0
Departamento;Coyoacán;3;1;1;125;24500.0;7350.0;1620.5
Departamento;Narvarte;1;0;0;48;2625.0;2702.0;87.5
Departamento;Santa Fe;3;3;1;175;14700.0;5250.0;1750.0
Departamento;Roma;2;1;0;76;8750.0;2590.0;
Departamento;Condesa;3;1;2;378;35000.0;7525.0;2450.0
Departamento;Condesa;3;0;0;180;19250.0;6230.0;1470.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;22;2450.0;;
Departamento;Lomas de Chapultepec;3;1;0;110;13650.0;5250.0;420.0
Conjunto Comercial/Sala;Centro Histórico;0;5;0;1306;411390.0;68201.0;
Cocineta;Condesa;1;0;0;27;4550.0;1330.0;185.5
Departamento;Santa Fe;3;1;2;70;6300.0;3832.5;490.0
Departamento;Condesa;4;1;0;244;17500.0;8750.0;14350.0
Departamento;Santa Fe;3;2;1;110;15750.0;7000.0;1575.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;460;26250.0;16789.5;7066.5
Conjunto Comercial/Sala;Centro Histórico;0;0;0;1170;491596.0;81931.5;20482.0
Departamento;Santa Fe;3;1;1;72;8225.0;2100.0;245.0
Departamento;San Pedro de los Pinos;2;2;1;180;14000.0;8750.0;1050.0
Conjunto Comercial/Sala;Centro Histórico;0;1;0;70;6650.0;3780.0;878.5
Conjunto Comercial/Sala;Polanco;0;1;0;50;14000.0;4060.0;700.0
Departamento;Centro Histórico;1;0;0;27;2625.0;1298.5;66.5
Departamento;Coyoacán;1;0;0;35;7000.0;2275.0;262.5
Departamento;Coyoacán;1;0;0;38;4900.0;1855.0;269.5
Tienda/Salón;Condesa;0;0;0;34;7000.0;2572.5;
Casa de Condominio;Santa Fe;5;10;5;1600;87500.0;5600.0;
Departamento;Santa Fe;4;3;3;153;22750.0;8050.0;1519.0
Departamento;Coyoacán;3;1;0;87;11200.0;4567.5;759.5
Departamento;Roma;3;1;1;108;20825.0;4917.5;1011.5
Departamento;Coyoacán;3;2;1;150;28000.0;8400.0;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;1;9975.0;7175.0;
Departamento;Coyoacán;3;1;1;140;27650.0;10150.0;1750.0
Departamento;Polanco;2;2;0;95;14000.0;4095.0;
Departamento;Santa Fe;2;1;1;70;;3395.0;238.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;33;2450.0;3535.0;196.0
Conjunto Comercial/Sala;Polanco;0;1;0;24;8750.0;2387.0;392.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;32;2975.0;2516.5;
Casa Comercial;Roma;0;0;0;140;24500.0;;479.5
Conjunto Comercial/Sala;Centro Histórico;0;1;0;390;88889.5;42315.0;4613.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;320;42000.0;13090.0;5393.5
Departamento;Lomas de Chapultepec;2;1;1;80;12250.0;3465.0;857.5
Departamento;Santa Fe;4;4;4;240;44450.0;15400.0;5040.0
Departamento;Santa Fe;3;2;1;104;9100.0;4774.0;1421.0
Departamento;San Ángel;2;1;0;70;9800.0;2380.0;343.0
Departamento;Santa Fe;2;1;1;88;9450.0;4550.0;7147.0
Departamento;Centro Histórico;1;1;0;37;3850.0;1890.0;3150.0
Departamento;San Jerónimo;3;4;0;130;19250.0;4924.5;861.0
Departamento;Santa Fe;3;2;2;85;8750.0;4900.0;665.0
Departamento;Del Valle;2;1;0;54;8050.0;2037.0;
Cocineta;Centro Histórico;0;0;0;30;2800.0;1767.5;
Departamento;Coyoacán;3;1;1;120;24500.0;6300.0;1295.0
Tienda/Salón;Santa Fe;0;0;0;36;18550.0;7399.0;2936.5
Departamento;Santa Fe;2;1;1;78;9625.0;4550.0;483.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;95;13300.0;5908.0;1372.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;310;59675.0;20825.0;6709.5
Departamento;San Pedro de los Pinos;2;1;0;86;14000.0;4406.5;658.0
Departamento;Santa Fe;1;1;1;70;5950.0;3045.0;500.5
Conjunto Comercial/Sala;Santa Fe;0;4;0;145;31500.0;22400.0;
Departamento;Ciudad de los Deportes;2;0;0;80;3500.0;;
Departamento;Narvarte;2;1;0;80;6300.0;3850.0;294.0
Conjunto Comercial/Sala;Santa Fe;0;2;0;142;14000.0;17584.0;43452.5
Conjunto Comercial/Sala;Roma;0;3;0;241;77000.0;32844.0;
Casa de Vecindad;Villa Coapa;2;1;0;70;4550.0;;
Departamento;Narvarte;3;1;0;172;9450.0;2730.0;595.0
Departamento;Coyoacán;3;1;1;145;28000.0;51688.0;15379.0
Cocineta;Condesa;1;0;0;29;4200.0;1610.0;
Departamento;Roma;2;1;1;83;9800.0;1960.0;483.0
Departamento;Roma;2;1;1;80;15050.0;4123.0;654.5
Departamento;Bosques de las Lomas;3;1;2;250;48650.0;8750.0;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;40;5250.0;2229.5;294.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;48;4900.0;2551.5;549.5
Departamento;Lomas de Chapultepec;3;2;1;147;26250.0;3598.0;864.5
Departamento;Condesa;2;1;0;67;12250.0;3325.0;560.0
Departamento;Coyoacán;3;1;1;150;87500.0;5656.0;14892.5
Departamento;Santa Fe;4;3;2;220;26250.0;13688.5;2506.0
Departamento;Juárez;2;0;0;77;8400.0;3955.0;490.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;55;3150.0;4340.0;840.0
Departamento;Chapultepec;2;1;0;55;4725.0;1505.0;164.5
Departamento;Lomas de Chapultepec;3;1;0;85;13650.0;2800.0;4238.5
Departamento;Juárez;2;0;0;75;11725.0;1592.5;
Casa;Lindavista;1;0;0;33;4200.0;;
Cocineta;La Condesa;1;0;0;16;4900.0;1050.0;735.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;212;45500.0;16450.0;4725.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;20;1557.5;2768.5;3643.5
Departamento;Ciudad de los Deportes;2;0;0;80;3150.0;1225.0;
Departamento;San Miguel Chapultepec;1;0;0;37;3500.0;997.5;84.0
Conjunto Comercial/Sala;Mixcoac;0;1;0;27;5250.0;2030.0;
Departamento;Condesa;3;0;0;150;19250.0;6230.0;1470.0
Departamento;Bosques de las Lomas;3;1;1;127;17500.0;5390.0;1295.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;32;4550.0;3272.5;759.5
Conjunto Comercial/Sala;Santa Fe;0;0;0;28;2800.0;1925.0;
Conjunto Comercial/Sala;Santa Fe;0;1;0;45;5600.0;3850.0;1225.0
Departamento;Santa Fe;3;2;1;128;10500.0;4844.0;1134.0
Terreno Estándar;Santa Fe;0;0;0;1110;490000.0;;
Departamento;San Ángel;3;1;1;160;28000.0;7000.0;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;154;13650.0;17850.0;1956.5
Departamento;Condesa;3;1;1;200;21700.0;6300.0;1470.0
Departamento;Santa Fe;2;1;0;58;5250.0;2331.0;371.0
Departamento;Roma;3;1;1;100;19250.0;4550.0;770.0
Departamento;Santa Fe;4;2;3;320;19250.0;9450.0;2800.0
Departamento;El Rosedal;2;1;0;50;3850.0;;
Conjunto Comercial/Sala;Santa Fe;0;0;0;21;4200.0;2058.0;
Departamento;Coyoacán;2;0;2;52;35000.0;12911.5;1375.5
Tienda/Salón;Santa Fe;0;1;0;120;14000.0;4900.0;5250.0
Departamento;Lomas de Chapultepec;4;4;4;380;140000.0;16450.0;5250.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;35;3500.0;1127.0;115.5
Conjunto Comercial/Sala;Narvarte;0;1;0;20;3500.0;2415.0;203.0
Tienda/Salón;Santa Fe;0;1;0;50;15750.0;4102.0;4644.5
Conjunto Comercial/Sala;Centro Histórico;0;0;0;120;10500.0;4830.0;1781.5
Departamento;Santa Fe;2;1;1;72;9100.0;5950.0;829.5
Departamento;Roma;4;1;1;190;19250.0;6020.0;1225.0
Cocineta;Juárez;0;0;0;20;2450.0;1750.0;98.0
Departamento;Coyoacán;4;6;1;700;227500.0;31010.0;19946.5
Conjunto Comercial/Sala;Centro Histórico;0;0;0;270;24500.0;9800.0;4371.5
Departamento;Bosques de las Lomas;3;1;2;105;12600.0;3850.0;983.5
Departamento;Condesa;3;1;1;500;52500.0;9030.0;1281.0
Departamento;Narvarte;3;0;0;87;5600.0;2275.0;350.0
Departamento;Roma;1;0;0;35;5250.0;1645.0;175.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;24;2450.0;2198.0;3920.0
Conjunto Comercial/Sala;Narvarte;0;0;0;21;3500.0;1820.0;406.0
Departamento;Santa Fe;1;1;1;65;8225.0;;
Departamento;Coyoacán;3;3;1;220;77000.0;14000.0;4200.0
Departamento;Condesa;3;0;0;100;11550.0;2975.0;315.0
Departamento;Santa Fe;3;1;2;93;8750.0;3850.0;
Departamento;Nueva Santa María;2;2;0;78;2800.0;3202.5;192.5
Departamento;Santa Fe;2;1;1;85;8750.0;5505.5;689.5
Departamento;Lomas de Chapultepec;2;1;1;115;26250.0;3430.0;945.0
Departamento;Roma;2;1;1;70;12950.0;3965.5;514.5
Departamento;Santa Fe;4;4;4;392;105000.0;24500.0;10500.0
Casa Comercial;Roma;0;0;0;220;56000.0;;
Cochera/Estacionamiento;Narvarte;0;0;0;0;1330.0;;
Departamento;Arboledas;3;1;1;61;4900.0;1743.0;
Departamento;Condesa;3;2;1;250;24500.0;5250.0;1519.0
Departamento en Hotel;Condesa;1;1;0;63;12600.0;4252.5;
Departamento en Hotel;Lomas de Chapultepec;1;0;1;50;15750.0;4550.0;525.0
Departamento;Coyoacán;3;2;1;200;52500.0;5250.0;2002.0
Departamento;Condesa;3;1;0;140;12950.0;4714.5;
Departamento;Condesa;2;0;0;50;8750.0;2625.0;2660.0
Casa;Chapultepec;3;2;1;135;10500.0;;
Departamento;Narvarte;3;1;1;78;8750.0;2555.0;623.0
Conjunto Comercial/Sala;Condesa;0;2;0;210;88200.0;22050.0;6615.0
Cocineta;Centro Histórico;0;0;0;28;2450.0;1400.0;56.0
Departamento;Bosques de las Lomas;3;1;1;75;14000.0;4375.0;1081.5
Conjunto Comercial/Sala;Narvarte;0;1;0;32;3150.0;1575.0;
Departamento;Narvarte;1;0;0;65;4200.0;1120.0;
Departamento;Santa Fe;2;1;0;60;5250.0;4431.0;815.5
Departamento;Condesa;4;1;2;210;45500.0;7700.0;2275.0
Departamento;Santa Fe;2;1;1;83;7000.0;5418.0;910.0
Departamento;Del Valle;5;2;1;400;31500.0;10500.0;
Departamento;Santa Fe;3;1;1;84;6650.0;3860.5;742.0
Departamento;Narvarte;3;0;0;75;6300.0;1225.0;
Departamento;Coyoacán;3;1;1;126;19250.0;4900.0;7000.0
Departamento;Lomas de Chapultepec;4;2;2;250;61250.0;17465.0;2170.0
Conjunto Comercial/Sala;Roma;0;8;0;463;324100.0;41450.5;50242.5
Conjunto Comercial/Sala;Centro Histórico;0;0;0;190;15750.0;3101.0;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;185;10500.0;35161.0;1617.0
Conjunto Comercial/Sala;Centro Histórico;0;4;0;230;24500.0;10955.0;4207.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;55;6160.0;4970.0;
Departamento;Condesa;4;2;2;436;59500.0;13650.0;3500.0
Departamento;Narvarte;2;1;1;71;5250.0;2100.0;
Departamento;Santa Fe;2;1;1;81;6650.0;4200.0;423.5
Casa de Condominio;Santa Fe;4;2;4;595;105000.0;8750.0;8785.0
Departamento;Lomas de Chapultepec;3;1;0;87;13300.0;3395.0;955.5
Tienda/Salón;Condesa;0;0;0;13;5250.0;1820.0;332.5
