customerID,Churn,customer.gender,account.Contract,account.PaymentMethod,account.Charges.Monthly
0002-ORFBO,No,Female,One year,Mailed check,65.6
0003-MKNFE,No,Male,Month-to-month,Mailed check,59.9
0004-TLHLJ,Yes,Male,Month-to-month,Electronic check,73.9
0011-IGKFF,Yes,Male,Month-to-month,Electronic check,98.0
0013-EXCHZ,Yes,Female,Month-to-month,Mailed check,83.9
0013-MHZWF,No,Female,Month-to-month,Credit card (automatic),69.4
0013-SMEOE,No,Female,Two year,Bank transfer (automatic),109.7
0014-BMAQU,No,Male,Two year,Credit card (automatic),84.65
0015-UOCOJ,No,Female,Month-to-month,Electronic check,48.2
0016-QLJIS,No,Female,Two year,Mailed check,90.45
0017-DINOC,No,Male,Two year,Credit card (automatic),45.2
0017-IUDMW,No,Female,Two year,Credit card (automatic),116.8
0018-NYROU,No,Female,Month-to-month,Electronic check,68.95
0019-EFAEP,No,Female,Two year,Bank transfer (automatic),101.3
0019-GFNTW,No,Female,Two year,Bank transfer (automatic),45.05
0020-INWCK,No,Female,Two year,Credit card (automatic),95.75
0020-JDNXP,No,Female,One year,Mailed check,61.25
0021-IKXGC,No,Female,Month-to-month,Electronic check,72.1
0022-TCJCI,Yes,Male,One year,Credit card (automatic),62.7
0023-HGHWL,Yes,Male,Month-to-month,Electronic check,25.1
0023-UYUPN,No,Female,One year,Electronic check,25.2
0023-XUOPT,Yes,Female,Month-to-month,Electronic check,94.1
0027-KWYKW,No,Female,Month-to-month,Electronic check,83.75
0030-FNXPP,No,Female,Month-to-month,Mailed check,19.85
0031-PVLZI,Yes,Female,Month-to-month,Mailed check,20.35
0032-PGELS,Yes,Female,Month-to-month,Bank transfer (automatic),30.5
0036-IHMOT,No,Female,One year,Bank transfer (automatic),103.7
0040-HALCW,No,Male,Two year,Credit card (automatic),20.4
0042-JVWOJ,No,Male,One year,Bank transfer (automatic),19.6
0042-RLHYP,No,Female,Two year,Bank transfer (automatic),19.7
0047-ZHDTW,,Female,Month-to-month,Bank transfer (automatic),79.0
0048-LUMLS,No,Male,One year,Credit card (automatic),91.2
0048-PIHNL,No,Female,One year,Bank transfer (automatic),20.45
0052-DCKON,No,Male,One year,Bank transfer (automatic),115.8
0052-YNYOT,No,Female,One year,Electronic check,20.55
0056-EPFBG,No,Male,Two year,Credit card (automatic),39.4
0057-QBUQH,No,Female,Two year,Electronic check,25.1
0058-EVZWM,No,Female,Month-to-month,Bank transfer (automatic),89.8
0060-FUALY,No,Female,Month-to-month,Electronic check,94.75
0064-SUDOG,No,Female,Two year,Bank transfer (automatic),20.3
0064-YIJGF,No,Male,Month-to-month,Bank transfer (automatic),75.75
0067-DKWBL,Yes,Male,Month-to-month,Electronic check,49.25
0068-FIGTF,No,Female,One year,Mailed check,78.2
0071-NDAFP,No,Male,Two year,Credit card (automatic),25.5
0074-HDKDG,No,Male,One year,Bank transfer (automatic),61.6
0076-LVEPS,No,Male,Month-to-month,Mailed check,45.0
0078-XZMHT,No,Male,Two year,Bank transfer (automatic),85.15
0080-EMYVY,No,Female,One year,Credit card (automatic),51.45
0080-OROZO,No,Female,One year,Electronic check,99.25
0082-LDZUE,No,Male,Month-to-month,Mailed check,44.3
0082-OQIQY,No,Male,Month-to-month,Electronic check,94.2
0083-PIVIK,No,Male,One year,Electronic check,81.25
0089-IIQKO,No,Female,Month-to-month,Credit card (automatic),99.95
0093-EXYQL,No,Female,Month-to-month,Electronic check,91.55
0093-XWZFY,Yes,Male,Month-to-month,Credit card (automatic),104.5
0094-OIFMO,Yes,Female,Month-to-month,Electronic check,95.0
0096-BXERS,No,Female,Month-to-month,Electronic check,50.35
0096-FCPUF,No,Male,Month-to-month,Mailed check,64.5
0098-BOWSO,No,Male,Month-to-month,Electronic check,19.4
0100-DUVFC,No,Male,One year,Electronic check,104.8
0103-CSITQ,No,Female,One year,Bank transfer (automatic),109.4
0104-PPXDV,No,Male,One year,Credit card (automatic),50.3
0106-GHRQR,No,Male,Month-to-month,Bank transfer (automatic),71.4
