flight_id,airline,aircraft_type,schengen,origin,arrival_time,departure_time,day,year,is_holiday,delay
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,0,2010,False,70.20598057342374
10,YE,Airbus A320,non-schengen,TCY,8.93999569161395,11.93999569161395,0,2010,False,38.484609338469504
3,BZ,Embraer E175,schengen,TZF,18.63538375746072,22.63538375746072,0,2010,False,2.3883054653629494
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,0,2010,False,19.138491329077908
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,0,2010,False,15.016271188399028
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,0,2010,False,9.842977102268627
25,BZ,Boeing 777,non-schengen,CSF,19.3412354924849,23.3412354924849,0,2010,False,39.01280384668599
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,0,2010,False,12.546978367734997
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,0,2010,False,44.969727772601274
8,BZ,Airbus A320,schengen,ZQO,15.72961711887716,18.729617118877158,0,2010,False,20.95785978034659
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,0,2010,False,34.96737010456889
1,BZ,Airbus A320,non-schengen,CNU,15.496518596772095,18.496518596772095,0,2010,False,27.074853887073594
1,BZ,Airbus A320,non-schengen,CNU,15.496518596772095,18.496518596772095,0,2010,False,20.922475801685263
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,0,2010,False,35.37695594587476
1,BZ,Airbus A320,non-schengen,CNU,15.496518596772095,18.496518596772095,0,2010,False,26.6785461665006
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,1,2010,False,-24.253939930653463
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,1,2010,False,-6.318647303320867
8,BZ,Airbus A320,schengen,ZQO,15.72961711887716,18.729617118877158,1,2010,False,-3.4781635488999494
25,BZ,Boeing 777,non-schengen,CSF,19.3412354924849,23.3412354924849,1,2010,False,4.007850371945667
6,YE,Boeing 787,schengen,AUZ,17.033687908193976,19.033687908193976,1,2010,False,9.377576508429772
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,1,2010,False,-11.997725298669494
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,1,2010,False,-11.917742169345049
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,1,2010,False,-2.208671477007705
16,MM,Airbus A320,non-schengen,CSF,17.04128127393899,20.04128127393899,1,2010,False,52.17508351601107
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,1,2010,False,32.330055136211115
12,YE,Airbus A330,schengen,TZF,17.31373090386899,21.31373090386899,1,2010,False,40.03089427221384
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,1,2010,False,-11.352423517403999
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,1,2010,False,-4.056212248782408
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,1,2010,False,3.72952645629685
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,1,2010,False,-23.223630528201003
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,2,2010,False,-10.507242781427781
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,2,2010,False,-3.4571572689572676
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,2,2010,False,-8.104122463597417
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,2,2010,False,4.648341798768865
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,2,2010,False,12.463512870293988
1,BZ,Airbus A320,non-schengen,CNU,15.496518596772095,18.496518596772095,2,2010,False,1.1377096842482874
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,2,2010,False,-21.836214858474396
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,2,2010,False,35.4077423860185
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,2,2010,False,-13.550440104930992
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,2,2010,False,40.02700710866342
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,2,2010,False,-5.558970844743459
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,2,2010,False,21.701276337215894
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,2,2010,False,7.7213716232052985
18,BZ,Airbus A320,schengen,TZF,14.258911084854821,20.258911084854823,2,2010,False,-2.468339518438327
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,2,2010,False,33.53655549527445
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,3,2010,False,7.416810368980929
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,3,2010,False,-7.766693300115781
10,YE,Airbus A320,non-schengen,TCY,8.93999569161395,11.93999569161395,3,2010,False,19.04791382784842
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,3,2010,False,9.386152794464206
12,YE,Airbus A330,schengen,TZF,17.31373090386899,21.31373090386899,3,2010,False,11.756325475887015
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,3,2010,False,-12.941496129490096
